rmsd,n,r_work_mean,r_work_std,r_work_median,r_free_mean,r_free_std,r_free_median,r_int_free_mean,r_int_free_std,r_int_free_median,cc_free_i_mean,cc_free_i_std,cc_free_i_median,delta_nll_i_free_mean,delta_nll_i_free_std,delta_nll_i_free_median,delta_nll_f_free_mean,delta_nll_f_free_std,delta_nll_f_free_median,cos_sim_i_mean,cos_sim_i_std,cos_sim_i_median,cos_sim_f_mean,cos_sim_f_std,cos_sim_f_median,geom_energy_mean,geom_energy_std,geom_energy_median,grad_norm_i_mean,grad_norm_i_std,grad_norm_i_median,grad_norm_f_mean,grad_norm_f_std,grad_norm_f_median
0.05,50,0.28260186415558197,0.0009176374780815766,0.2824803038298015,0.3194816248217014,0.0029643451290951497,0.31933975591840813,0.49231294328711817,0.00518125482985214,0.49228114830660286,0.8818262874579678,0.002796646569674713,0.8820483717053726,0.01952309787273407,0.006531211741876704,0.019704565405845642,0.019743614196777344,0.0065531640681507795,0.02000880241394043,0.2729118274566543,0.011021059007426549,0.27191992184854563,0.2727116472190425,0.01107909522285926,0.27188990274645836,66575.22203552132,2178.850351231412,66213.74055501899,0.042554864718507834,0.000512231456811962,0.04251045548497939,0.04289550632452771,0.0005118841700968748,0.04285811226945847
0.1,50,0.30540663377937916,0.0016717297191981484,0.30568608799765074,0.33962673997733417,0.005998224497591831,0.34001536130528753,0.5162879931161828,0.010647137817972323,0.5170768997596656,0.8754969696477966,0.006471262707670522,0.8754924700610638,0.07853802442550659,0.013922070401943347,0.07879605889320374,0.07924870491027831,0.01410138207081133,0.07972288131713867,0.4379483443497039,0.00873283603158787,0.43775618103152164,0.4380390053951288,0.00874706622571431,0.43811661661831114,261258.6375031087,6627.955870148205,260176.6895235674,0.051547491738665345,0.0008443203145770547,0.05151225411306039,0.05198430251730832,0.0008433484112222084,0.05195703661495371
0.25,50,0.41753704775430656,0.0040206647295767325,0.4176373510584949,0.4438410035926666,0.01152981194286768,0.44296019616057136,0.6512299053705018,0.02471513617529936,0.651780144106659,0.8294083164904624,0.019581190950234705,0.8268562417168916,0.4270930790901184,0.03583713215802377,0.4256667494773865,0.435399751663208,0.03690218783501773,0.43152713775634766,0.5319491080221369,0.009214076050917272,0.531138941195383,0.533339193145885,0.009371367147437543,0.5322165246545835,1586382.8132551282,38355.58962371792,1589035.6949181408,0.08142010193185953,0.002091128678478477,0.08143751532785665,0.0829464585225605,0.00211144189197756,0.0829323307924096
0.5,50,0.6048487708461591,0.007001227892581613,0.6043769869812102,0.6144373810270551,0.013165982149840074,0.6116393314121764,0.9199259048041101,0.033534100482420864,0.9212159223495495,0.679209498784578,0.03359119831865765,0.6786563043998988,1.1298180103302002,0.053099107021853956,1.1247416138648987,1.1824000930786134,0.05388186053310664,1.1790039539337158,0.378489306838816,0.010560838258993262,0.38016570364505187,0.3998465194074799,0.010555327541086986,0.4005790574349948,6067752.694117515,159821.10008035856,6065652.798141644,0.09804764903298407,0.002008459926789828,0.09775340426781182,0.1056706895920462,0.0021300949756397685,0.10563484137429013
