rmsd_target,rmsd_actual,rep,pdb_file,nll_i_work,nll_i_free,delta_nll_i_work,delta_nll_i_free,nll_f_work,nll_f_free,delta_nll_f_work,delta_nll_f_free,r_work,r_free,r_int_work,r_int_free,cc_work_i,cc_free_i,geom_energy,delta_geom_energy,grad_norm_i,grad_norm_f,cos_sim_i,cos_sim_f
0.05,0.05,0,6czg_rmsd_0.05_rep_00.pdb,0.31646546721458435,0.46577903628349304,0.018365979194641113,0.027409344911575317,4.3564066886901855,4.5006513595581055,0.01841449737548828,0.027573108673095703,0.2816385543866085,0.32274125835891926,0.4473501061826317,0.49499068141148644,0.9352675049216195,0.8826460169996506,67876.30391584514,65718.82425764912,0.04206626642298722,0.04238192330583854,0.257130683571794,0.2564927091393329
0.05,0.049999999999999996,1,6czg_rmsd_0.05_rep_01.pdb,0.31842362880706787,0.4521176815032959,0.020324140787124634,0.013747990131378174,4.35855770111084,4.486889839172363,0.020565509796142578,0.013811588287353516,0.28393077161821867,0.31921219444887494,0.4498783633071367,0.4923915893632199,0.937024783951251,0.8839584664834054,67887.67011659249,65730.19045839646,0.04267593357108841,0.043080990766672864,0.27162226657636807,0.27178185199195193
0.05,0.05000000000000001,2,6czg_rmsd_0.05_rep_02.pdb,0.3186281621456146,0.4713112711906433,0.020528674125671387,0.032941579818725586,4.358554363250732,4.506592750549316,0.020562171936035156,0.03351449966430664,0.28196734785116995,0.32578303266279823,0.449040394902512,0.504688132789444,0.9362819866756873,0.8762290878859731,65773.24702617286,63615.767367976834,0.04243358600728855,0.042785849185445764,0.27755750167239723,0.27651088257131323
0.05,0.05,3,6czg_rmsd_0.05_rep_03.pdb,0.3182004392147064,0.4528992474079132,0.020100951194763184,0.014529556035995483,4.358193874359131,4.487785339355469,0.020201683044433594,0.014707088470458984,0.2831364449700746,0.31655623380301423,0.4471177850858745,0.48142422649192423,0.9374966150716786,0.8795762267905437,66972.06525886206,64814.58560066603,0.04284710175189571,0.04317795022738776,0.2630222807470059,0.262382876991973
0.05,0.05,4,6czg_rmsd_0.05_rep_04.pdb,0.3193210959434509,0.45791152119636536,0.02122160792350769,0.019541829824447632,4.359277248382568,4.492939472198486,0.021285057067871094,0.019861221313476562,0.28472223545880554,0.3174728253075132,0.45092166522191196,0.48850199950791745,0.9352689647047152,0.8811085192812974,66212.5243625664,64055.044704370375,0.043545869881374016,0.04386403138660694,0.27825017242302713,0.2774998597193394
0.05,0.05,5,6czg_rmsd_0.05_rep_05.pdb,0.31723228096961975,0.4683307707309723,0.019132792949676514,0.029961079359054565,4.357247829437256,4.503261566162109,0.019255638122558594,0.03018331527709961,0.2825297212792702,0.3183149518305437,0.44704686378481134,0.49186657014968627,0.9359751012558906,0.8820639222362754,67706.69373945025,65549.21408125422,0.041925097407957364,0.042263279272821246,0.26726765724714086,0.26695890659738447
0.05,0.05000000000000001,6,6czg_rmsd_0.05_rep_06.pdb,0.3186332881450653,0.4659615159034729,0.02053380012512207,0.027591824531555176,4.358550071716309,4.500979900360107,0.020557880401611328,0.027901649475097656,0.28290492247010696,0.3238462743538942,0.4492415620711199,0.49217070724998585,0.9356717932483345,0.8854804662497111,66088.27776063915,63930.79810244312,0.04293253057735336,0.04325299514714726,0.26998245510117663,0.26897232859818787
0.05,0.049999999999999996,7,6czg_rmsd_0.05_rep_07.pdb,0.31740498542785645,0.46929728984832764,0.019305497407913208,0.030927598476409912,4.35743522644043,4.504194259643555,0.019443035125732422,0.031116008758544922,0.2816677695758833,0.31962138824488007,0.4461432743303644,0.4905855714886338,0.9357753301218337,0.8856290136041777,70257.26144195402,68099.781783758,0.041804254453028634,0.04214726134063394,0.2718239220930978,0.27130678508757083
0.05,0.05,8,6czg_rmsd_0.05_rep_08.pdb,0.31952765583992004,0.44802531599998474,0.021428167819976807,0.009655624628067017,4.359619617462158,4.48305082321167,0.021627426147460938,0.009972572326660156,0.2831172043051007,0.31592158385218233,0.44733761576029824,0.48601387581551747,0.9358376897021935,0.8829411206599231,65159.223575099946,63001.74391690392,0.042710947718936416,0.04305357796768578,0.2819386982002406,0.28177243689813464
0.05,0.05,9,6czg_rmsd_0.05_rep_09.pdb,0.31951552629470825,0.4493796229362488,0.021416038274765015,0.011009931564331055,4.359424114227295,4.483955383300781,0.021431922912597656,0.010877132415771484,0.28243928453859496,0.3176926708846167,0.4483249687492708,0.4902679791938899,0.9369021083692259,0.8863235423730713,64126.91195632603,61969.43229813001,0.04307380718744186,0.043390237323399,0.27610860903876666,0.2750609549130886
